 -5.00	-34.00
 -4.90	-32.81
 -4.80	-31.64
 -4.70	-30.49
 -4.60	-29.36
 -4.50	-28.25
 -4.40	-27.16
 -4.30	-26.09
 -4.20	-25.04
 -4.10	-24.01
 -4.00	-23.00
 -3.90	-22.01
 -3.80	-21.04
 -3.70	-20.09
 -3.60	-19.16
 -3.50	-18.25
 -3.40	-17.36
 -3.30	-16.49
 -3.20	-15.64
 -3.10	-14.81
 -3.00	-14.00
 -2.90	-13.21
 -2.80	-12.44
 -2.70	-11.69
 -2.60	-10.96
 -2.50	-10.25
 -2.40	 -9.56
 -2.30	 -8.89
 -2.20	 -8.24
 -2.10	 -7.61
 -2.00	 -7.00
 -1.90	 -6.41
 -1.80	 -5.84
 -1.70	 -5.29
 -1.60	 -4.76
 -1.50	 -4.25
 -1.40	 -3.76
 -1.30	 -3.29
 -1.20	 -2.84
 -1.10	 -2.41
 -1.00	 -2.00
 -0.90	 -1.61
 -0.80	 -1.24
 -0.70	 -0.89
 -0.60	 -0.56
 -0.50	 -0.25
 -0.40	  0.04
 -0.30	  0.31
 -0.20	  0.56
 -0.10	  0.79
  0.00	  1.00
  0.10	  1.19
  0.20	  1.36
  0.30	  1.51
  0.40	  1.64
  0.50	  1.75
  0.60	  1.84
  0.70	  1.91
  0.80	  1.96
  0.90	  1.99
  1.00	  2.00
  1.10	  1.99
  1.20	  1.96
  1.30	  1.91
  1.40	  1.84
  1.50	  1.75
  1.60	  1.64
  1.70	  1.51
  1.80	  1.36
  1.90	  1.19
  2.00	  1.00
  2.10	  0.79
  2.20	  0.56
  2.30	  0.31
  2.40	  0.04
  2.50	 -0.25
  2.60	 -0.56
  2.70	 -0.89
  2.80	 -1.24
  2.90	 -1.61
  3.00	 -2.00
  3.10	 -2.41
  3.20	 -2.84
  3.30	 -3.29
  3.40	 -3.76
  3.50	 -4.25
  3.60	 -4.76
  3.70	 -5.29
  3.80	 -5.84
  3.90	 -6.41
  4.00	 -7.00
  4.10	 -7.61
  4.20	 -8.24
  4.30	 -8.89
  4.40	 -9.56
  4.50	-10.25
  4.60	-10.96
  4.70	-11.69
  4.80	-12.44
  4.90	-13.21
  5.00	-14.00
